GVKEY,Company Name,Ticker,CIK,Is the folder present?,,
3851,DELTA AIR LINES INC,DAL,27904,No,,
3863,DELUXE CORP,DLX,27996,Yes,,
3231,COMERICA INC,CMA,28412,Yes,,
3955,DIGITAL EQUIPMENT,DEC.1,28887,No,,
3964,DILLARDS INC  -CL A,DDS,28917,No,,
4016,DOLLAR GENERAL CORP,DG,29534,No,,
4040,DONNELLEY (R R) & SONS CO,RRD,29669,Yes,,
4058,DOVER CORP,DOV,29905,Yes,,
4062,DOW JONES & CO INC,DJ,29924,Yes,,
4066,OMNICOM GROUP,OMC,29989,Yes,,
4073,DRESSER INDUSTRIES INC,DI.,30099,No,,
4087,DU PONT (E I) DE NEMOURS,DD.2,30554,Yes,,
4108,FLOWSERVE CORP,FLS,30625,Yes,,
4159,E-SYSTEMS INC,ESY.1,30875,No,,
4194,EASTMAN KODAK CO,KODK,31235,Yes,,
4204,ECHLIN INC,ECH.1,31348,No,,
4213,ECOLAB INC,ECL,31462,Yes,,
4145,PERKINELMER INC,PKI,31791,Yes,,
4321,EMERSON ELECTRIC CO,EMR,32604,Yes,,
4393,TXU GAS CO,TXU2,33015,No,,
4423,EQUIFAX INC,EFX,33185,No,,
4430,EQT CORP,EQT,33213,No,,
4503,EXXON MOBIL CORP,XOM,34088,Yes,,
4560,FAMILY DOLLAR STORES,FDO,34408,No,,
4603,FEDERAL PAPER BOARD CO,FBO,34891,No,,
4605,FEDERAL REALTY INVESTMENT TR,FRT,34903,No,,
4640,FIFTH THIRD BANCORP,FITB,35527,Yes,,
4723,U S BANCORP,USB,36104,Yes,,
4689,FIRST CHICAGO CORP,FNB.,36161,No,,
4699,M & T BANK CORP,MTB,36270,Yes,,
2014,BANKBOSTON CORP,BKB.2,36672,No,,
4737,FIRST HORIZON NATIONAL CORP,FHN,36966,No,,
4739,WACHOVIA CORP,WB.3,36995,Yes,,
141400,MASSEY ENERGY CO,MEE,37748,No,,
4510,FMC CORP,FMC,37785,Yes,,
4839,FORD MOTOR CO,F,37996,Yes,,
4843,FOREST LABORATORIES  -CL A,FRX,38074,No,,
4885,FRANKLIN RESOURCES INC,BEN,38777,Yes,,
4988,TEGNA INC,TGNA,39899,Yes,,
4990,GAP INC,GPS,39911,Yes,,
2281,BOATMENS BANCSHARES INC,BOAT.,40454,No,,
5038,HARCOURT GENERAL INC,H.2,40493,Yes,,
5046,GENERAL DYNAMICS CORP,GD,40533,Yes,,
5047,GENERAL ELECTRIC CO,GE,40545,No,,
5071,GENERAL MILLS INC,GIS,40704,No,,
5079,GPU INC,GPU.,40779,Yes,,
4961,GTE CORP,GTE.1,40858,Yes,,
5125,GENUINE PARTS CO,GPC,40987,No,,
5134,GEORGIA-PACIFIC CORP,GP.1,41077,Yes,,
5141,GERBER PRODUCTS CO,GEB.1,41130,No,,
5151,GIANT FOOD INC  -CL A,GFS.A,41289,No,,
5169,GILLETTE CO,G.1,41499,Yes,,
5211,MIRAGE RESORTS INC,MIR.1,42246,No,,
5216,GOLDEN WEST FINANCIAL CORP,GDW,42293,Yes,,
5229,GOODRICH CORP,GR,42542,No,,
5234,GOODYEAR TIRE & RUBBER CO,GT,42582,Yes,,
5301,GREAT ATLANTIC & PAC TEA CO,GAPTQ,43300,Yes,,
5306,GREAT LAKES CHEMICAL CORP,GLK.1,43362,No,,
5314,GREAT NORTHERN NEKOOSA CORP,GNN,43414,No,,
5321,GREAT WESTERN FINANCIAL,GWF.,43512,No,,
5361,GRUMMAN CORP,GQ.1,44279,No,,
5378,PARAMOUNT COMMUNICATIONS INC,PCI.3,44482,No,,
5439,HALLIBURTON CO,HAL,45012,Yes,,
5468,HARCOURT BRACE JOVANOVICH,HBJ,45529,No,,
5476,HARLAND (JOHN H.) CO,JH,45599,No,,
5518,HASBRO INC,HAS,46080,No,,
5581,HELMERICH & PAYNE,HP,46765,Yes,,
5589,HERCULES INC,HPC,46989,Yes,,
5597,HERSHEY CO,HSY,47111,Yes,,
5606,HP INC,HPQ,47217,Yes,,
5667,HOLLYFRONTIER CORP,HFC,48039,No,,
5693,HONEYWELL INC,HON.Z,48305,No,,
5709,HORMEL FOODS CORP,HRL,48465,Yes,,
27914,HUMANA INC,HUM,49071,Yes,,
5786,HUNTINGTON BANCSHARES,HBAN,49196,No,,
5878,ILLINOIS TOOL WORKS,ITW,49826,Yes,,
5905,INCO LTD,INCLF,49996,No,,
10466,ANDEAVOR,ANDV,50104,Yes,,
4764,FLEETBOSTON FINANCIAL CORP,FBF,50341,No,,
6008,INTEL CORP,INTC,50863,Yes,,
6025,FURNITURE BRANDS INTL INC,FBNIQ,50957,No,,
6066,INTL BUSINESS MACHINES CORP,IBM,51143,Yes,,
6078,INTL FLAVORS & FRAGRANCES,IFF,51253,Yes,,
6096,MALLINCKRODT INC,MKG,51396,Yes,,
6104,INTL PAPER CO,IP,51434,Yes,,
6136,INTERPUBLIC GROUP OF COS,IPG,51644,Yes,,
6216,JACOBS ENGINEERING GROUP INC,JEC,52988,Yes,,
6226,FORT JAMES CORP,FJ,53117,Yes,,
6241,JEFFERSON-PILOT CORP,JP.1,53347,Yes,,
6288,JOSTENS INC,JOSEA,54050,Yes,,
6335,KANSAS CITY SOUTHERN,KSU,54480,Yes,,
6351,SUNAMERICA INC,SAI.1,54727,No,,
6375,KELLOGG CO,K,55067,Yes,,
6435,KIMBERLY-CLARK CORP,KMB,55785,Yes,,
6502,KROGER CO,KR,56873,Yes,,
6649,LEGGETT & PLATT INC,LEG,58492,No,,
6701,AEROQUIP-VICKERS INC,ANV.1,59198,No,,
6730,LILLY (ELI) & CO,LLY,59478,Yes,,
6734,LIN BROADCASTING,LINB,59498,No,,
6742,LINCOLN NATIONAL CORP,LNC,59558,No,,
6765,LITTON INDUSTRIES INC,LIT.1,59880,No,,
6781,LOEWS CORP,L,60086,Yes,,
6796,LONE STAR INDUSTRIES,LCE,60195,No,,
6807,LORAL CORP,LOR.2,60357,No,,
6819,LOUISIANA LAND & EXPLORATION,LLX.,60512,No,,
6821,LOUISIANA-PACIFIC CORP,LPX,60519,No,,
6829,LOWE'S COS INC,LOW,60667,Yes,,
1013,ADC TELECOMMUNICATIONS INC,ADCT,61478,No,,
6994,MANITOWOC CO,MTW,61986,Yes,,
7003,MANUFACTURERS HANOVER CORP,MHC.1,62119,No,,
7065,MARSH & MCLENNAN COS,MMC,62709,Yes,,
7085,MASCO CORP,MAS,62996,Yes,,
7116,MATTEL INC,MAT,63276,Yes,,
7127,MAY DEPARTMENT STORES CO,MAY.2,63416,No,,
7139,MAYTAG CORP,MYG.1,63541,No,,
7146,MCCORMICK & CO INC,MKC,63754,Yes,,
7154,MCDONALD'S CORP,MCD,63908,Yes,,
7155,MCDONNELL DOUGLAS CORP,MD.1,63917,No,,
7163,S&P GLOBAL INC,SPGI,64040,Yes,,
6864,MCI COMMUNICATIONS,MCIC.,64079,No,,
7238,MELLON FINANCIAL CORP,MEL.3,64782,No,,
7241,CVS HEALTH CORP,CVS,64803,Yes,,
7252,MERCANTILE BANCORPORATION,MTL.3,64907,No,,
7254,MERCANTILE STORES CO INC,MST.,64923,No,,
7260,MEREDITH CORP,MDP,65011,No,,
7267,MERRILL LYNCH & CO INC,BAC2,65100,Yes,,
6856,M/A-COM INC,MAI.1,65771,No,,
1318,ALLTEL CORP,AT.2,65873,Yes,,
7366,ENTERGY CORP,ETR,65984,Yes,,
7409,MILLIPORE CORP,MIL.2,66479,No,,
7435,3M CO,MMM,66740,Yes,,
7475,MOBIL CORP,MOB.2,67182,No,,
7506,MOLEX INC,MOLX,67472,No,,
7515,GENESIS WORLDWIDE INC-OLD,GWOW,67532,No,,
